"";"Layer";"Node";"p=0.17";"p=0.33";"p=0.5";"p=0.67";"p=0.83"
"1";1;1;0,370808235549964;0,478630763822573;0,830581103432246;1;0,380015568098933
"2";1;2;0,366299236969035;0,473584920979403;0,824294816196246;1;0,384611545799685
"3";1;3;0,397708671833347;0,508731456557646;0,868076931607567;1;0,352596207117864
"4";1;4;0,335988447904871;0,439661905128011;0,782026011911116;1;0,415506924226059
"5";1;5;0,387401172658217;0,49719828978136;0,853711364187962;1;0,363102533973952
"6";1;6;0,32682335739614;0,429402947090057;0,769240096972007;1;0,424848727658264
"7";1;7;0,384628069488003;0,494095209241885;0,849845794931164;1;0,365929140683199
"8";1;8;0,362290556901782;0,469098911193162;0,818705888078563;1;0,388697550549657
"9";1;9;0,353211194808931;0,458937949998137;0,806045884827798;1;0,397952037455271
"10";1;10;0,349499169894097;0,454783713463248;0,800869908277194;1;0,401735645176238
"11";1;11;0,447764304357018;0,564733395275403;0,937821497056087;1;0,301575063532474
"12";1;12;0,382745623527233;0,491988755484;0,847221721312992;1;0,367847904861841
"13";1;13;0,410894501264187;0,523484635127946;0,886452225731161;1;0,339156021302079
"14";1;14;0,372299470085386;0,480299514295105;0,832660032725041;1;0,37849556682921
"15";1;15;0,36238923560719;0,469209510139666;0,818843982669972;1;0,388596953669111
"16";1;16;0,457681188389345;0,57582721375917;0,951635618249351;1;0,29146693235022
"17";1;17;0,359261479427479;0,465709006360701;0,814482287384175;1;0,391785057619899
"18";1;18;0,376269236413445;0,484741938719497;0,838194579601631;1;0,37444920953524
"19";1;19;0,469146988174218;0,588653427348012;0,967606300852314;1;0,279780028782798
"20";1;20;0,326493845891816;0,429034026424746;0,76878015737813;1;0,425184596118463
"21";1;21;0,404760115117743;0,516621159657501;0,877903820656934;1;0,345408740993186
"22";1;22;0,357595939057584;0,463845289031621;0,812160618507933;1;0,393482706904064
"23";1;23;0,361250028934239;0,467934700119429;0,81725583364895;1;0,389758129351922
"24";1;24;0,459692637386575;0,578077308280445;0,95443732440273;1;0,289416697765247
"25";1;25;0,413092474128043;0,525943842362231;0,889515145350834;1;0,336915646438928
"26";1;26;0,36361862427297;0,470585192832824;0,820557718811981;1;0,387343859571484
"27";1;27;0,33608682062614;0,439771930904309;0,782162980091013;1;0,415406659640676
"28";1;28;0,412953339382843;0,525788426259581;0,889322032877261;1;0,337057444244915
"29";1;29;0,397560924304121;0,508566258597806;0,867871375011808;1;0,352746795067973
"30";1;30;0,396401211337339;0,507268467025593;0,866254546926324;1;0,353928895069589
"31";1;31;0,365277266721012;0,472441267463576;0,822869999243328;1;0,385653228629209
"32";1;32;0,376232421312171;0,4847005280464;0,838142607794005;1;0,374486751283585
"33";1;33;0,372362598946468;0,480370285405906;0,832748428197597;1;0,3784312106125
"34";1;34;0,40506906951445;0,516966918063815;0,878334609856517;1;0,3450938192846
"35";1;35;0,396548342249059;0,507433320035043;0,866460291832276;1;0,353778907565621
