"";"Layer";"Node";"p=0.05";"p=0.1";"p=0.14";"p=0.19";"p=0.24";"p=0.29";"p=0.33";"p=0.38";"p=0.43";"p=0.48";"p=0.52";"p=0.57";"p=0.62";"p=0.67";"p=0.71";"p=0.76";"p=0.81";"p=0.86";"p=0.9";"p=0.95"
"1";1;1;0,00878531646736139;0,00869808223087853;0,00862488748368912;0,0085196935630347;0,00871159963239053;0,00827771370540002;0,00816234763739824;0,00800528261983762;0,00842998037311613;0,00761475044774335;0,00742572705826276;0,00715114015730756;0,00680459361203668;0,00644136503382806;0,0060660313540432;0,00549600210263106;0,00476597042109879;0,00381760270823959;0,00284290477417132;0,0013095438831108
"2";1;2;0,0112142545837551;0,0111087787487042;0,0110054628192798;0,0108853997682574;0,0121176706699016;0,0105816418328306;0,0104480964699574;0,0102441131072412;0,00994516198363555;0,00977151992310034;0,00953269028276024;0,00919608658419778;0,00884056993563988;0,00828146663198332;0,00781549212092958;0,00709652772321066;0,00617866582554266;0,00496243750491487;0,0036859855350124;0,00162941806343072
"3";1;3;0,00878531646736139;0,00869808223087853;0,00862488748368912;0,0085196935630347;0,00871159963239053;0,00827771370540002;0,00816234763739824;0,00800528261983762;0,00842998037311613;0,00761475044774335;0,00742572705826276;0,00715114015730756;0,00680459361203668;0,00644136503382806;0,0060660313540432;0,00549600210263106;0,00476597042109879;0,00381760270823959;0,00284290477417132;0,0013095438831108
"4";1;4;0,0101095478329224;0,0100130767941571;0,00992289492667085;0,00980958221254528;0,00797340204729836;0,0095339334747404;0,00940859266406295;0,00922601810747128;0,00896169392113738;0,00879072990472093;0,00857463253854268;0,00826644117153701;0,0079328545401218;0,00744496561856067;0,00701994616428169;0,00636803273559931;0,00553618578738837;0,00444175658557559;0,00330254474226657;0,00148394724000038
"5";1;5;0,0108164505731012;0,0107143700012406;0,010615655978086;0,0104980210803491;0,0123141989012196;0,0102043862637249;0,0100737834289911;0,00987752032756464;0,00959103826637194;0,00941835154643746;0,00918771336215923;0,0088613392144762;0,00851371722612833;0,00798025909298238;0,00752903027087558;0,0068340512353188;0,00594731599163672;0,00477494330881623;0,00354791128563407;0,00157703866124247
"6";1;6;0,00938103312113879;0,00928984432988736;0,00920884660048803;0,00909999946426088;0,00906100492231246;0,00884288201424747;0,00872301471363126;0,00855450038057669;0,00831301126746705;0,00814386124718981;0,00794272549590961;0,00765327998031528;0,00733416783470775;0,0068932363222149;0,00649523679369575;0,00588842982957695;0,00511245420294541;0,00409836900964661;0,00304966294171875;0,00138798974358553
"7";1;7;0,0115458486963487;0,0114374000436944;0,0113303699057267;0,0112082852232718;0,0122496044374636;0,0108960881789674;0,0107601003776679;0,0105496722555823;0,0102403275171901;0,010065897069522;0,00982023446407261;0,00947510533121549;0,00911300984384162;0,00853252925567199;0,0080542652518776;0,00731543253448236;0,00637150595885401;0,0051187251128453;0,00380107868643665;0,00167307703163973
"8";1;8;0,00949137939776374;0,0093994204672031;0,00931700942671089;0,00920748510484079;0,00909022818238781;0,00894756111804496;0,0088268611732071;0,00865622050738241;0,00841127266831834;0,00824184513927294;0,00803844487574551;0,00774615947161476;0,00742485418603378;0,00697681057349497;0,00657471775367181;0,005961024374662;0,00517663826647501;0,0041503823325534;0,0030879675232919;0,00140252570559527
"9";1;9;0,0111479465424639;0,0110430497834103;0,0109404894816999;0,0108208309979301;0,0121095016927926;0,0105187605005019;0,0103857048139461;0,0101830090395252;0,00988613631390686;0,00971265290308629;0,00947518902840641;0,009140290331948;0,00878608944363815;0,00823126087655393;0,00776774410855633;0,00705276696208188;0,00614010372351816;0,0049311852293448;0,00366297082929121;0,0016206875707217
"10";1;10;0,0101537197158088;0,0100569140393752;0,00996618529671349;0,00985260233872834;0,00767995730321345;0,00957582978799463;0,00945015925284117;0,00926673020713834;0,00900102144994954;0,00882994915047511;0,00861294359331352;0,00830361593137273;0,00796915204537824;0,00747841582842341;0,00705175848822342;0,00639713830101277;0,00556187688190318;0,00446257704689501;0,00331787762836321;0,00148976505165081
