"";"Layer";"Node";"p=0.17";"p=0.33";"p=0.5";"p=0.67";"p=0.83"
"1";1;1;0,000740618177103981;0,000740344468083192;0,000740205407395998;0,000740172890413188;0,000740122532540867
"2";1;2;0,000966970248416966;0,00120213418169145;0,00117938493667506;0,00118158553721248;0,00118119611901588
"3";1;3;0,000744361354542997;0,000743357966439595;0,000743927363313964;0,000743966747559674;0,000743918862608062
"4";1;4;0,000740272828138938;0,000740058934867179;0,00073987149552304;0,000739834509208601;0,000739783872239772
"5";1;5;0,000740272828138938;0,000740058934867213;0,000739871495522992;0,000739834509208601;0,000739783872239726
"6";1;6;0,000740450723575758;0,000740207947064205;0,000740038670526247;0,000740002785304871;0,000739952321605506
"7";1;7;0,000743981468179608;0,000743055910622203;0,00074354959591381;0,000743581924458801;0,000743533775451223
"8";1;8;0,000740618177103981;0,000740344468083268;0,000740205407395853;0,000740172890413096;0,00074012253254077
"9";1;9;0,000740584568409507;0,000740323803147175;0,000740179488185117;0,000740146686907097;0,000740096296241075
"10";1;10;0,000740923618781944;0,000740594790363826;0,000740511066532845;0,000740484745138452;0,000740434576648435
"11";1;11;0,000740272828138938;0,000740058934867291;0,000739871495522899;0,00073983450920851;0,000739783872239627
"12";1;12;0,000740272828138938;0,000740058934867291;0,000739871495522853;0,00073983450920851;0,000739783872239627
"13";1;13;0,000740450723575758;0,00074020794706432;0,000740038670526114;0,000740002785304776;0,000739952321605364
"14";1;14;0,000740923618781994;0,000740594790363863;0,000740511066532798;0,000740484745138405;0,000740434576648338
"15";1;15;0,000741296489849624;0,000740896388071526;0,000740881196890292;0,00074086225615781;0,000740812330292486
"16";1;16;0,000740272828138938;0,000740058934867369;0,000739871495522805;0,000739834509208413;0,000739783872239537
"17";1;17;0,000740923618781994;0,000740594790363941;0,000740511066532702;0,000740484745138357;0,00074043457664829
"18";1;18;0,000740756185155556;0,00074046010597336;0,000740346376418323;0,000740316810272177;0,00074026653399813
"19";1;19;0,000740272828138938;0,000740058934867409;0,000739871495522714;0,000739834509208368;0,000739783872239488
"20";1;20;0,000740618177104031;0,000740344468083462;0,000740205407395621;0,000740172890412906;0,000740122532540531
"21";1;21;0,000740272828138938;0,000740058934867447;0,000739871495522664;0,000739834509208368;0,000739783872239438
"22";1;22;0,000741791797126589;0,000741296858692882;0,000741372896423159;0,000741363629111268;0,000741314023241062
