"";"Layer";"Node";"p=0.05";"p=0.1";"p=0.14";"p=0.19";"p=0.24";"p=0.29";"p=0.33";"p=0.38";"p=0.43";"p=0.48";"p=0.52";"p=0.57";"p=0.62";"p=0.67";"p=0.71";"p=0.76";"p=0.81";"p=0.86";"p=0.9";"p=0.95"
"1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,621996959600856;1e-04;1e-04
"2";1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,567917224672326;1e-04;1e-04
"3";1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,618670368185283;1e-04;1e-04
"4";1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,632785771490964;1e-04;1e-04
"5";1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,567020842920946;1e-04;1e-04
"6";1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,681932620101654;1e-04;1e-04
"7";1;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,533926813158711;1e-04;1e-04
"8";1;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,677482763115953;1e-04;1e-04
"9";1;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,606168441753642;1e-04;1e-04
"10";1;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,672670024847978;1e-04;1e-04
"11";2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,695450565069958;1e-04;1e-04
"12";2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,589289633125786;1e-04;1e-04
"13";2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,546617476829765;1e-04;1e-04
"14";2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,695442933178806;1e-04;1e-04
"15";2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,666467917355138;1e-04;1e-04
"16";2;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,703186602623894;1e-04;1e-04
"17";2;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,667504192538029;1e-04;1e-04
"18";2;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,507726387281521;1e-04;1e-04
"19";2;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,589908063494821;1e-04;1e-04
"20";2;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,653608785718007;1e-04;1e-04
